scenario_id,feeder_id,pv_bus,existing_pv_kw,new_pv_kw,total_pv_kw,base_pv_bus_voltage_pu,pv_pv_bus_voltage_pu,delta_pv_bus_voltage_pu,base_min_voltage_pu,base_max_voltage_pu,pv_min_voltage_pu,pv_max_voltage_pu,max_voltage_rise_pu,worst_voltage_bus,base_max_line_loading_pct,pv_max_line_loading_pct,base_max_transformer_loading_pct,pv_max_transformer_loading_pct,worst_line,worst_transformer,base_total_p_kw,pv_total_p_kw,delta_total_p_kw,base_total_q_kvar,pv_total_q_kvar,delta_total_q_kvar,base_losses_kw,pv_losses_kw,delta_losses_kw,reverse_power_flow,constraint_type,constraint_reason,label,base_min_voltage_bus,base_max_voltage_bus,pv_min_voltage_bus,pv_max_voltage_bus,delta_line_loading_pct,delta_transformer_loading_pct,existing_load_at_bus_kw,pv_bus_vn_kv,base_worst_line,base_worst_transformer,reverse_reason,converged
S01363,IEEE_CompTestFeeder,725,13,69,82,1.0036,1.04876,0.04517,0.90612,1.00545,0.90701,1.04876,0.04331,625,8.74,18.81,92.78,92.69,SEC-2,T7,4164.42,4093.93,-70.49,1686.85,1671.97,-14.89,441.34,439.84,-1.49,1,caution,max 1.0488>1.03; rise 0.0452>=0.03; reverse flow,CAUTION,734,702,734,625,10.07,-0.1,0,0.24,OH-1 parallel with OH-2,T7,line 30 0.053->-0.012 reversed,True
S01364,IEEE_CompTestFeeder,723,14,205,219,1.00885,1.18181,0.17297,0.90613,1.00885,0.90815,1.18181,0.17297,623,8.74,44.58,92.78,92.57,SEC-4,T7,4163.43,3979.35,-184.07,1686.65,1659.99,-26.65,441.34,462.27,20.93,1,voltage,Max voltage 1.1818 pu at bus 623 exceeds 1.05,CONSTRAINED,734,623,734,623,35.84,-0.22,0,0.24,OH-1 parallel with OH-2,T7,line 30 0.052->-0.118 reversed,True
S01365,IEEE_CompTestFeeder,770,0,143,143,0.95062,0.96826,0.01765,0.90593,1.00536,0.91278,1.00761,0.00225,702,8.77,8.29,92.8,92.34,OH-1 parallel with OH-2,T1,4178.44,3981.22,-197.22,1690.21,1591.88,-98.33,442.35,388.13,-54.22,0,none,No violation,SAFE,734,702,734,702,-0.48,-0.46,450.0,0.24,OH-1 parallel with OH-2,T7,none,True
S01366,IEEE_CompTestFeeder,624,0,120,120,0.99457,1.03651,0.04194,0.90593,1.00536,0.90754,1.03651,0.03114,624,8.77,27.85,92.8,92.63,SEC-1,T7,4178.44,4053.27,-125.17,1690.21,1662.94,-27.27,442.35,437.18,-5.17,1,caution,max 1.0365>1.03; rise 0.0419>=0.03; reverse flow,CAUTION,734,702,734,624,19.08,-0.17,0,0.24,OH-1 parallel with OH-2,T7,line 30 0.066->-0.049 reversed,True
S01367,IEEE_CompTestFeeder,715,0,177,177,0.99084,0.99503,0.00419,0.90593,1.00536,0.90723,1.0064,0.00104,702,8.77,8.76,92.8,92.66,OH-1 parallel with OH-2,T7,4178.44,3993.75,-184.69,1690.21,1652.44,-37.77,442.35,434.66,-7.69,0,none,No violation,SAFE,734,702,734,702,-0.02,-0.14,0,0.208,OH-1 parallel with OH-2,T7,none,True
S01368,IEEE_CompTestFeeder,740,11,104,115,0.98299,0.99172,0.00873,0.90635,1.00549,0.9102,1.00662,0.00113,702,8.74,8.44,92.76,92.44,OH-1 parallel with OH-2,T1,4164.81,4037.31,-127.5,1684.93,1637.87,-47.07,439.72,416.23,-23.5,1,caution,reverse flow,CAUTION,734,702,734,702,-0.3,-0.32,75.0,0.24,OH-1 parallel with OH-2,T7,trafo 9 reversed,True
S01369,IEEE_CompTestFeeder,748,0,208,208,0.95588,0.97592,0.02004,0.90593,1.00536,0.91424,1.00788,0.00251,702,8.77,8.15,92.8,94.95,OH-1 parallel with OH-2,T8,4178.44,3913.48,-264.96,1690.21,1584.09,-106.12,442.35,385.39,-56.96,1,caution,reverse flow,CAUTION,734,702,734,702,-0.63,2.15,76.88,0.24,OH-1 parallel with OH-2,T7,trafo 5 reversed,True
S01370,IEEE_CompTestFeeder,6242,0,249,249,0.99457,1.07766,0.0831,0.90593,1.00536,0.90898,1.07766,0.0723,624,8.77,55.58,92.8,92.48,SEC-1,T7,4178.44,3929.06,-249.38,1690.21,1642.42,-47.79,442.35,441.97,-0.38,1,voltage,Max voltage 1.0777 pu at bus 624 exceeds 1.05,CONSTRAINED,734,702,734,624,46.81,-0.33,0,0.24,OH-1 parallel with OH-2,T7,line 30 0.066->-0.165 reversed,True
S01371,IEEE_CompTestFeeder,6202,3,8,11,0.99467,0.99492,0.00026,0.90597,1.00539,0.90609,1.00544,6e-05,702,8.77,8.75,92.8,92.79,OH-1 parallel with OH-2,T7,4175.18,4166.47,-8.7,1689.41,1687.3,-2.11,442.09,441.39,-0.7,0,none,No violation,SAFE,734,702,734,702,-0.02,-0.01,0,0.24,OH-1 parallel with OH-2,T7,none,True
S01372,IEEE_CompTestFeeder,756,0,227,227,0.93612,0.96005,0.02394,0.90593,1.00536,0.91596,1.00854,0.00318,702,8.77,8.05,92.8,92.25,OH-1 parallel with OH-2,T1,4178.44,3876.27,-302.17,1690.21,1553.44,-136.77,442.35,367.19,-75.17,1,caution,reverse flow,CAUTION,734,702,734,702,-0.73,-0.55,155.0,0.208,OH-1 parallel with OH-2,T7,line 16 0.156->-0.072 reversed,True
S01373,IEEE_CompTestFeeder,6332,13,185,198,0.9199,1.0021,0.0822,0.91239,1.0055,0.92875,1.00708,0.00158,702,8.74,43.77,92.75,104.18,SEC-7,T4,4162.51,3956.58,-205.93,1684.55,1620.9,-63.65,439.42,418.49,-20.93,1,voltage_rise,Voltage rise at PV bus 6332 0.0822 pu exceeds 0.05,CONSTRAINED,734,702,735,702,35.03,11.43,0,0.24,OH-1 parallel with OH-2,T7,trafo 3 reversed,True
S01374,IEEE_CompTestFeeder,6241,11,194,205,0.99859,1.06403,0.06544,0.90609,1.00544,0.90852,1.06403,0.05859,624,8.75,46.35,92.79,92.53,SEC-1,T7,4166.52,3970.36,-196.16,1687.33,1648.52,-38.81,441.43,439.28,-2.16,1,voltage,Max voltage 1.0640 pu at bus 624 exceeds 1.05,CONSTRAINED,734,702,734,624,37.6,-0.26,0,0.24,OH-1 parallel with OH-2,T7,line 30 0.055->-0.126 reversed,True
S01375,IEEE_CompTestFeeder,733,6,80,86,0.91646,0.95417,0.03771,0.90892,1.00543,0.92546,1.0062,0.00077,702,8.76,17.87,92.78,92.49,SEC-7,T7,4171.06,4076.98,-94.08,1687.58,1655.98,-31.6,440.97,426.9,-14.08,1,caution,rise 0.0377>=0.03; reverse flow,CAUTION,734,702,735,702,9.11,-0.29,0,0.24,OH-1 parallel with OH-2,T7,line 38 0.010->-0.068 reversed,True
S01376,IEEE_CompTestFeeder,7121,0,179,179,0.95827,0.9659,0.00763,0.90593,1.00536,0.90716,1.00635,0.00098,702,8.77,8.76,92.8,92.67,OH-1 parallel with OH-2,T7,4178.44,3992.29,-186.15,1690.21,1655.31,-34.9,442.35,435.21,-7.15,1,caution,reverse flow,CAUTION,734,702,734,702,-0.01,-0.13,0,0.24,OH-1 parallel with OH-2,T7,line 28 0.145->-0.034 reversed,True
